current_ordinal	current_operation	current_process_outcome	current_provider_status	current_result_variant	normalized_leaf_id	request_artifact_expectation	session_field_state	url_observation_kind	url_session_relation	answer_field_state	raw_artifact_field_state	artifact_claim_result	send_predecessor_kind	prior_receipt_ids	prior_event_ids	provider_reason	provider_exit	payload_leaf	lifecycle_result_kind	lifecycle_reason	ok	lifecycle_status	lifecycle_exit	retryable	retry_owner	retry_delay_ms	retry_budget	receipt_count	receipt_sequence	persistence_event_sequence	side_effect	fixture_id	command_id	cwd	expected_provider_rc	expected_lifecycle_rc	state_oracle	receipt_oracle_sequence	side_effect_oracle
1	capture.root	exit_0	capture_failed	capture_failed	N001.base	none	absent	diagnostic_url	unvalidated	absent	artifacts_absent	none	none	none	none	none	0	payload.N001.base	terminal.capture_failure	none	false	capture_failed	0	false	none	0	0	1	receipt.capture.root	none	capture.evidence.persist	legal.N001.base	cmd.N001.base	stacks/gpt-webai-slot-pool	0	0	state.unchanged	oracle.receipt.capture.root.valid	capture.evidence.digest.valid
2	capture.root	exit_0	captured	captured	N002.base	none	absent	diagnostic_url	unvalidated	absent	artifacts_absent	none	none	none	none	none	0	payload.N002.base	terminal.capture_success	none	true	captured	0	false	none	0	0	1	receipt.capture.root	none	capture.evidence.persist	legal.N002.base	cmd.N002.base	stacks/gpt-webai-slot-pool	0	0	state.unchanged	oracle.receipt.capture.root.valid	capture.evidence.digest.valid
3	capture.root	invocation_error	not_applicable	invocation_contract_invalid_artifact	N003.base	none	request_forbidden_provider_payload_absent	none	none	none	none	none	none	none	none	provider.contract.invalid_artifact	none	payload.N003.base	terminal.invocation_failure	provider.contract.invalid_artifact	false	failed	70	false	none	0	0	1	receipt.failure.invocation	none	diagnostic.persist	legal.N003.base	cmd.N003.base	stacks/gpt-webai-slot-pool	none	70	state.unchanged	oracle.receipt.failure.invocation.valid	diagnostic.digest.valid
4	capture.root	invocation_error	not_applicable	invocation_contract_invalid_field	N004.base	none	request_forbidden_provider_payload_absent	none	none	none	none	none	none	none	none	provider.contract.invalid_field	none	payload.N004.base	terminal.invocation_failure	provider.contract.invalid_field	false	failed	70	false	none	0	0	1	receipt.failure.invocation	none	diagnostic.persist	legal.N004.base	cmd.N004.base	stacks/gpt-webai-slot-pool	none	70	state.unchanged	oracle.receipt.failure.invocation.valid	diagnostic.digest.valid
5	capture.root	invocation_error	not_applicable	invocation_contract_not_object	N005.base	none	request_forbidden_provider_payload_absent	none	none	none	none	none	none	none	none	provider.contract.not_object	none	payload.N005.base	terminal.invocation_failure	provider.contract.not_object	false	failed	70	false	none	0	0	1	receipt.failure.invocation	none	diagnostic.persist	legal.N005.base	cmd.N005.base	stacks/gpt-webai-slot-pool	none	70	state.unchanged	oracle.receipt.failure.invocation.valid	diagnostic.digest.valid
6	capture.root	invocation_error	not_applicable	invocation_contract_unknown_status	N006.base	none	request_forbidden_provider_payload_absent	none	none	none	none	none	none	none	none	provider.contract.unknown_status	none	payload.N006.base	terminal.invocation_failure	provider.contract.unknown_status	false	failed	70	false	none	0	0	1	receipt.failure.invocation	none	diagnostic.persist	legal.N006.base	cmd.N006.base	stacks/gpt-webai-slot-pool	none	70	state.unchanged	oracle.receipt.failure.invocation.valid	diagnostic.digest.valid
7	capture.root	invocation_error	not_applicable	invocation_invalid_json	N007.base	none	request_forbidden_provider_payload_absent	none	none	none	none	none	none	none	none	provider.invalid_json	none	payload.N007.base	terminal.invocation_failure	provider.invalid_json	false	failed	70	false	none	0	0	1	receipt.failure.invocation	none	diagnostic.persist	legal.N007.base	cmd.N007.base	stacks/gpt-webai-slot-pool	none	70	state.unchanged	oracle.receipt.failure.invocation.valid	diagnostic.digest.valid
8	capture.root	invocation_error	not_applicable	invocation_io_error	N008.base	none	request_forbidden_provider_payload_absent	none	none	none	none	none	none	none	none	provider.io_error	none	payload.N008.base	terminal.invocation_failure	provider.io_error	false	failed	70	false	none	0	0	1	receipt.failure.invocation	none	diagnostic.persist	legal.N008.base	cmd.N008.base	stacks/gpt-webai-slot-pool	none	70	state.unchanged	oracle.receipt.failure.invocation.valid	diagnostic.digest.valid
9	capture.root	invocation_error	not_applicable	invocation_stderr_too_large	N009.base	none	request_forbidden_provider_payload_absent	none	none	none	none	none	none	none	none	provider.stderr_too_large	none	payload.N009.base	terminal.invocation_failure	provider.stderr_too_large	false	failed	70	false	none	0	0	1	receipt.failure.invocation	none	diagnostic.persist	legal.N009.base	cmd.N009.base	stacks/gpt-webai-slot-pool	none	70	state.unchanged	oracle.receipt.failure.invocation.valid	diagnostic.digest.valid
10	capture.root	invocation_error	not_applicable	invocation_stdout_too_large	N010.base	none	request_forbidden_provider_payload_absent	none	none	none	none	none	none	none	none	provider.stdout_too_large	none	payload.N010.base	terminal.invocation_failure	provider.stdout_too_large	false	failed	70	false	none	0	0	1	receipt.failure.invocation	none	diagnostic.persist	legal.N010.base	cmd.N010.base	stacks/gpt-webai-slot-pool	none	70	state.unchanged	oracle.receipt.failure.invocation.valid	diagnostic.digest.valid
