normalizedLeafId	r13ResponseDiscriminant	requiredProofOrReceipt	r13EventSequence	lifecycleResultKind	exit	failClosedResultKind
N001.base	capture.root.failure	none	-	run.model_failed	70	run.model_failed
N002.base	capture.root.success	root_binding_candidate	-	run.running	0	run.model_failed
N003.base	capture.root.failure	none	-	run.model_failed	70	run.model_failed
N004.base	capture.root.failure	none	-	run.model_failed	70	run.model_failed
N005.base	capture.root.failure	none	-	run.model_failed	70	run.model_failed
N006.base	capture.root.failure	none	-	run.model_failed	70	run.model_failed
N007.base	capture.root.failure	none	-	run.model_failed	70	run.model_failed
N008.base	capture.root.failure	none	-	run.model_failed	70	run.model_failed
N009.base	capture.root.failure	none	-	run.model_failed	70	run.model_failed
N010.base	capture.root.failure	none	-	run.model_failed	70	run.model_failed
N011.base	capture.root.failure	none	-	run.model_failed	70	run.model_failed
N012.base	session-rebind.failure	none	-	show.content_unavailable	70	show.content_unavailable
N013.base	session-rebind.success	session_echo	-	show.running	0	show.content_unavailable
N014.base	session-rebind.failure	none	-	show.content_unavailable	70	show.content_unavailable
N015.base	session-rebind.failure	none	-	show.content_unavailable	70	show.content_unavailable
N016.base	session-rebind.failure	none	-	show.content_unavailable	70	show.content_unavailable
N017.base	session-rebind.failure	none	-	show.content_unavailable	70	show.content_unavailable
N018.base	session-rebind.failure	none	-	show.content_unavailable	70	show.content_unavailable
N019.base	session-rebind.failure	none	-	show.content_unavailable	70	show.content_unavailable
N020.base	session-rebind.failure	none	-	show.content_unavailable	70	show.content_unavailable
N021.base	session-rebind.failure	none	-	show.content_unavailable	70	show.content_unavailable
N022.base	session-rebind.failure	none	-	show.content_unavailable	70	show.content_unavailable
N023.ae-claimed	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsAbsent,ArtifactClaimFailed,TerminalPersisted	download.controls_absent_required	70	download.content_unavailable
N023.ae-optional	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsAbsent,ArtifactClaimFailed,TerminalPersisted	download.controls_absent_required	70	download.content_unavailable
N023.ae-required	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsAbsent,ArtifactClaimFailed,TerminalPersisted	download.controls_absent_required	70	download.content_unavailable
N024.ae-claimed.artifact-empty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.event_timeout	70	download.content_unavailable
N024.ae-claimed.artifact-nonempty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.event_timeout	70	download.content_unavailable
N024.ae-none.artifact-empty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.event_timeout	70	download.content_unavailable
N024.ae-none.artifact-nonempty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.event_timeout	70	download.content_unavailable
N024.ae-optional.artifact-empty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.event_timeout	70	download.content_unavailable
N024.ae-optional.artifact-nonempty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.event_timeout	70	download.content_unavailable
N024.ae-required.artifact-empty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.event_timeout	70	download.content_unavailable
N024.ae-required.artifact-nonempty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.event_timeout	70	download.content_unavailable
N025.ae-claimed.artifact-empty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.event_timeout	70	download.content_unavailable
N025.ae-claimed.artifact-nonempty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.event_timeout	70	download.content_unavailable
N025.ae-none.artifact-empty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.event_timeout	70	download.content_unavailable
N025.ae-none.artifact-nonempty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.event_timeout	70	download.content_unavailable
N025.ae-optional.artifact-empty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.event_timeout	70	download.content_unavailable
N025.ae-optional.artifact-nonempty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.event_timeout	70	download.content_unavailable
N025.ae-required.artifact-empty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.event_timeout	70	download.content_unavailable
N025.ae-required.artifact-nonempty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.event_timeout	70	download.content_unavailable
N026.ae-claimed.artifact-nonempty	artifact-click-save.success	playwright_download_receipt	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactDownloadCompleted,ArtifactClaimCompleted,TerminalPersisted	download.completed	0	download.content_unavailable
N026.ae-none.artifact-nonempty	artifact-click-save.success	playwright_download_receipt	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactDownloadCompleted,ArtifactClaimCompleted,TerminalPersisted	download.completed	0	download.content_unavailable
N026.ae-none.artifact-zero	artifact-discover.success	zero_control_proof	ArtifactClaimEstablished,ArtifactControlsAbsent,ArtifactClaimCompleted,TerminalPersisted	download.optional_zero	0	download.content_unavailable
N026.ae-optional.artifact-nonempty	artifact-click-save.success	playwright_download_receipt	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactDownloadCompleted,ArtifactClaimCompleted,TerminalPersisted	download.completed	0	download.content_unavailable
N026.ae-optional.artifact-zero	artifact-discover.success	zero_control_proof	ArtifactClaimEstablished,ArtifactControlsAbsent,ArtifactClaimCompleted,TerminalPersisted	download.optional_zero	0	download.content_unavailable
N026.ae-required.artifact-nonempty	artifact-click-save.success	playwright_download_receipt	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactDownloadCompleted,ArtifactClaimCompleted,TerminalPersisted	download.completed	0	download.content_unavailable
N027.ae-claimed.artifact-empty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted,SlotHealthObserved	download.provider_blocked	70	download.content_unavailable
