path	disposition	note
.omo/evidence/gpt-webai-lifecycle/pre-edit-r13/baseline-supplement.json	new	R25-C6
stacks/gpt-webai-slot-pool/Cargo.lock	modify	MODULE-3
stacks/gpt-webai-slot-pool/Cargo.toml	keep	-
stacks/gpt-webai-slot-pool/Dockerfile	modify	R25-C3
stacks/gpt-webai-slot-pool/README.md	modify	-
stacks/gpt-webai-slot-pool/SMOKE_TESTS.md	modify	-
stacks/gpt-webai-slot-pool/bin/gpt-webai-lifecycle	keep	-
stacks/gpt-webai-slot-pool/bin/gpt-webai-lifecycle-rust	keep	-
stacks/gpt-webai-slot-pool/compose.fake.yaml	new	R25-C6
stacks/gpt-webai-slot-pool/compose.yaml	modify	R25-C3
stacks/gpt-webai-slot-pool/contracts/provider-r12/provider-outcome-current.tsv	generated	-
stacks/gpt-webai-slot-pool/contracts/provider-r12/provider-outcome-normalized.tsv	generated	-
stacks/gpt-webai-slot-pool/contracts/provider-r12/r12-to-r13-crosswalk.tsv	generated	-
stacks/gpt-webai-slot-pool/contracts/ui-labels-r14/chip-removal-labels.tsv	generated	-
stacks/gpt-webai-slot-pool/contracts/ui-labels-r14/model-effort-labels.tsv	generated	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/Cargo.toml	modify	MODULE-3
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/allocator/cursors.rs	new	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/allocator/health.rs	new	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/allocator/mod.rs	new	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/allocator/scan.rs	new	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/answer_artifacts/mod.rs	modify	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/artifact_claims/baseline.rs	new	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/artifact_claims/completion.rs	new	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/artifact_claims/mod.rs	new	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/artifact_claims/recovery.rs	new	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/artifact_objects/mod.rs	modify	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/claims/mod.rs	new	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/claims/renewal.rs	new	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/claims/request.rs	new	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/claims/session_operation.rs	new	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/cleanup/mod.rs	modify	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/cli/allocate.rs	modify	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/cli/allocate/args.rs	modify	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/cli/allocate/output.rs	modify	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/cli/allocate/runtime.rs	modify	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/cli/download.rs	modify	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/cli/mod.rs	modify	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/cli/preflight.rs	modify	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/cli/release/args.rs	modify	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/cli/release/mod.rs	modify	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/cli/release/output.rs	modify	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/cli/release/target.rs	modify	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/cli/resume.rs	modify	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/cli/run/args.rs	modify	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/cli/run/fake_runtime.rs	modify	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/cli/run/legacy.rs	modify	-
stacks/gpt-webai-slot-pool/crates/gpt-webai-lifecycle/src/cli/run/mod.rs	modify	-
