caseId	command	argvTemplate	promptId	files	failpoint	expectedResultKinds	repeat10	liveOnly
L01	preflight	--json --docker-slot-provider --run-id {runId}	-	-	-	preflight.ready	false	-
L02	preflight	--json --docker-slot-provider --run-id {runId}	-	-	-	preflight.model_correction_required,preflight.ready	false	-
L03	run	--json --docker-slot-provider --live-send --require-visual-gate --request-id {requestId} --run-id {runId} --fencing-token {fencingToken} --model pro --effort standard --prompt-file {promptPath} --artifact-expectation none	PR72-LIVE-L03	-	-	run.terminal_success	false	-
L04	run	--json --docker-slot-provider --live-send --require-visual-gate --request-id {requestId} --run-id {runId} --fencing-token {fencingToken} --model pro --effort standard --prompt-file {promptPath} --artifact-expectation none	PR72-LIVE-L04	-	-	run.terminal_success	false	-
L05	run	--json --docker-slot-provider --live-send --require-visual-gate --request-id {requestId} --run-id {runId} --fencing-token {fencingToken} --model pro --effort standard --prompt-file {promptPath} --file {fileA} --artifact-expectation none	PR72-LIVE-L05	file-A.txt	-	run.terminal_success	false	-
L06	run	--json --docker-slot-provider --live-send --require-visual-gate --request-id {requestId} --run-id {runId} --fencing-token {fencingToken} --model pro --effort standard --prompt-file {promptPath} --file {fileA} --file {fileB} --file {fileC} --artifact-expectation none	PR72-LIVE-L06	file-A.txt,file-B.txt,file-C.txt	-	run.terminal_success	false	-
L07	run	--json --docker-slot-provider --live-send --require-visual-gate --request-id {requestId} --run-id {runId} --fencing-token {fencingToken} --model pro --effort standard --prompt-file {promptPath} --file {fileA} --artifact-expectation none	PR72-LIVE-L07	file-A.txt	-	run.terminal_success	false	-
L08	run	--json --docker-slot-provider --live-send --require-visual-gate --request-id {requestId} --run-id {runId} --fencing-token {fencingToken} --model pro --effort standard --prompt-file {promptPath} --artifact-expectation none	PR72-LIVE-L08	-	after-physical-send-click-before-provider-stdout	resume.terminal_success	false	-
L09	run	--json --docker-slot-provider --live-send --require-visual-gate --request-id {requestId} --run-id {runId} --fencing-token {fencingToken} --model pro --effort standard --prompt-file {promptPath} --artifact-expectation none	PR72-LIVE-L09	-	-	run.terminal_success,run.output_publish_failed,run.release_failed	false	run.output_publish_failed,run.release_failed
L10	show	--json --session {sessionId} --fencing-token {fencingToken} --docker-slot-provider	PR72-LIVE-L10	-	-	show.idle,show.request_binding_missing,show.release_failed	false	show.request_binding_missing,show.release_failed
L11	resume	--json --session {sessionId} --fencing-token {fencingToken} --docker-slot-provider	PR72-LIVE-L11	-	-	resume.terminal_success,resume.output_publish_failed,resume.request_binding_missing,resume.release_failed	false	resume.output_publish_failed,resume.request_binding_missing,resume.release_failed
L12	download	--json --session {sessionId} --fencing-token {fencingToken} --artifact-expectation optional --docker-slot-provider	PR72-LIVE-L12	-	-	download.optional_zero	false	-
L13	download	--json --session {sessionId} --fencing-token {fencingToken} --artifact-expectation required --docker-slot-provider	PR72-LIVE-L13	-	-	download.completed,download.release_failed	false	download.release_failed
L14	download	--json --session {sessionId} --fencing-token {fencingToken} --artifact-expectation required --docker-slot-provider	PR72-LIVE-L14	-	-	download.completed	false	-
L15	show	--json --session {unknownSessionId} --fencing-token {fencingToken} --docker-slot-provider	-	-	-	show.unknown_session	false	-
L16	show	--json --session {sessionId} --fencing-token {fencingToken} --docker-slot-provider	PR72-LIVE-L16	-	-	show.url_rejected	false	-
L17	run	--json --docker-slot-provider --live-send --require-visual-gate --request-id {requestId} --run-id {runId} --fencing-token {fencingToken} --model pro --effort standard --prompt-file {promptPath} --artifact-expectation none	PR72-LIVE-L17	-	-	run.terminal_success,allocate.pool_busy,allocate.state_invalid	false	allocate.pool_busy,allocate.state_invalid
L18	run	--json --docker-slot-provider --live-send --require-visual-gate --request-id {requestId} --run-id {runId} --fencing-token {fencingToken} --model pro --effort standard --prompt-file {promptPath} --artifact-expectation none	PR72-LIVE-L18	-	-	run.terminal_success	false	-
L19	resume	--json --session {sessionId} --fencing-token {fencingToken} --docker-slot-provider	PR72-LIVE-L19	-	after-answerterminal	resume.terminal_success	false	-
L20	release	--json --session {sessionId}	PR72-LIVE-L20	-	-	release.allocatable,release.cooldown_blocked,release.takeover_unproven,release.stop_failed,release.cleanup_failed	false	release.cooldown_blocked,release.takeover_unproven,release.stop_failed,release.cleanup_failed
L21	status	--json	-	-	-	status.ready,status.blocked,status.degraded,status.state_invalid,status.runtime_probe_failed,cleanup.plan,cleanup.state_invalid,cleanup.unsafe_path,cleanup.partial_failure	false	status.blocked,status.state_invalid,status.runtime_probe_failed,cleanup.state_invalid,cleanup.unsafe_path,cleanup.partial_failure
R01	run	--json --docker-slot-provider --live-send --require-visual-gate --request-id {requestId} --run-id {runId} --fencing-token {fencingToken} --model pro --effort standard --prompt-file {promptPath} --artifact-expectation none	PR72-LIVE-R01	-	-	run.terminal_success	true	-
R02	run	--json --docker-slot-provider --live-send --require-visual-gate --request-id {requestId} --run-id {runId} --fencing-token {fencingToken} --model pro --effort standard --prompt-file {promptPath} --artifact-expectation none	PR72-LIVE-R02	-	-	run.slot_readiness_failed	true	-
R03	run	--json --docker-slot-provider --live-send --require-visual-gate --request-id {requestId} --run-id {runId} --fencing-token {fencingToken} --model pro --effort standard --prompt-file {promptPath} --artifact-expectation none	PR72-LIVE-R03	-	-	run.terminal_success	true	-
